"","Year","Month","Day","Time","TrafX_Count","Date_Time"
"1","22","01","30","09",10,"22 01 30 09"
"2","22","01","30","10",39,"22 01 30 10"
"3","22","01","30","11",57,"22 01 30 11"
"4","22","01","30","12",45,"22 01 30 12"
"5","22","01","30","13",9,"22 01 30 13"
"6","22","01","30","14",33,"22 01 30 14"
"7","22","01","30","15",35,"22 01 30 15"
"8","22","01","30","16",41,"22 01 30 16"
"9","22","01","30","17",20,"22 01 30 17"
"10","22","01","30","18",36,"22 01 30 18"
"11","22","01","30","19",9,"22 01 30 19"
"12","22","01","30","20",7,"22 01 30 20"
"13","22","01","30","21",2,"22 01 30 21"
"14","22","01","30","22",1,"22 01 30 22"
"15","22","01","30","23",0,"22 01 30 23"
"16","22","01","31","00",0,"22 01 31 00"
"17","22","01","31","01",0,"22 01 31 01"
"18","22","01","31","02",0,"22 01 31 02"
"19","22","01","31","03",9,"22 01 31 03"
"20","22","01","31","04",2,"22 01 31 04"
"21","22","01","31","05",2,"22 01 31 05"
"22","22","01","31","06",16,"22 01 31 06"
"23","22","01","31","07",47,"22 01 31 07"
"24","22","01","31","08",0,"22 01 31 08"
"25","22","01","31","09",9,"22 01 31 09"
"26","22","01","31","10",9,"22 01 31 10"
"27","22","01","31","11",18,"22 01 31 11"
"28","22","01","31","12",8,"22 01 31 12"
"29","22","01","31","13",2,"22 01 31 13"
"30","22","01","31","14",2,"22 01 31 14"
"31","22","01","31","15",4,"22 01 31 15"
"32","22","01","31","16",4,"22 01 31 16"
"33","22","01","31","17",3,"22 01 31 17"
"34","22","01","31","18",2,"22 01 31 18"
"35","22","01","31","19",3,"22 01 31 19"
"36","22","01","31","20",7,"22 01 31 20"
"37","22","01","31","21",5,"22 01 31 21"
"38","22","01","31","22",0,"22 01 31 22"
"39","22","01","31","23",2,"22 01 31 23"
"40","22","02","01","00",0,"22 02 01 00"
"41","22","02","01","01",0,"22 02 01 01"
"42","22","02","01","02",0,"22 02 01 02"
"43","22","02","01","03",0,"22 02 01 03"
"44","22","02","01","04",0,"22 02 01 04"
"45","22","02","01","05",25,"22 02 01 05"
"46","22","02","01","06",6,"22 02 01 06"
"47","22","02","01","07",31,"22 02 01 07"
"48","22","02","01","08",39,"22 02 01 08"
"49","22","02","01","09",43,"22 02 01 09"
"50","22","02","01","10",6,"22 02 01 10"
"51","22","02","01","11",24,"22 02 01 11"
"52","22","02","01","12",34,"22 02 01 12"
"53","22","02","01","13",0,"22 02 01 13"
"54","22","02","01","14",0,"22 02 01 14"
"55","22","02","01","15",35,"22 02 01 15"
"56","22","02","01","16",46,"22 02 01 16"
"57","22","02","01","17",141,"22 02 01 17"
"58","22","02","01","18",129,"22 02 01 18"
"59","22","02","01","19",100,"22 02 01 19"
"60","22","02","01","20",16,"22 02 01 20"
"61","22","02","01","21",0,"22 02 01 21"
