2950288
STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT09,WT11
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-02,,2,0.37,,,,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-03,,,,,0,,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-04,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-05,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-06,,,,,0.28,,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-07,,,,,0.21,2.5,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-08,,,,,0.22,3.5,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-09,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-10,,,,,0.04,,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-11,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-12,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-13,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-14,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-15,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-16,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-17,,,,,0.82,,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-18,,,,,0.28,,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-19,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-20,,,,,0.04,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-21,,,,,0.08,,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-22,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-23,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-24,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-25,,,,,0.04,0.5,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-26,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-27,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-28,,,,,0.08,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-29,,,,,0.43,3.5,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-30,,,,,1.02,10,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-01-31,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-01,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-02,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-03,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-04,,,,,0.25,,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-05,,,,,1.36,0.2,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-06,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-07,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-08,,,,,1.38,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-09,,,,,0,,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-10,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-11,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-12,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-13,,,,,0.04,0.4,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-14,,,,,0.49,8.8,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-15,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1RIKN0023,"WARWICK 3.2 NNE, RI US",41.7475,-71.4088,15.8,2022-02-16,,,,,0,0,,,,,,,,,,,,,,,,,,,
